tableA_id,tableA_Beer_Name,tableA_Brew_Factory_Name,tableA_Style,tableA_ABV,tableB_id,tableB_Beer_Name,tableB_Brew_Factory_Name,tableB_Style,tableB_ABV,label
3524,Ant Ray Cow Pants,Oliphant Brewing,American Amber / Red Ale,7.30 %,2135,Blackwater Art Deco,Salopian,Golden Ale/Blond Ale,4.20 %,0
986,Waves Of Grain,The LAB ( Lexington Avenue Brewery ),American Amber / Red Ale,5.50 %,2810,Texas Ale Project Fire Ant Funeral,Texas Ale Project,Amber Ale,6 %,0
3520,Devil 's Bath,ManRock Brewing Company,American Amber / Red Ale,8.00 %,2606,Cigar City Sertoma Smoke,Cigar City Brewing,Amber Ale,5 %,0
1785,Tabula Rasa,The Able Ebenezer Brewing Company,American Amber / Red Ale,7.50 %,1429,Red Eye Black Eye 4 - El Tormento,Red Eye Brewing Company,American Strong Ale,8.90 %,0
3210,Freedom Soho Red,Freedom Brewery Ltd,American Amber / Red Ale,4.70 %,1737,Freedom Soho Red,Freedom,Amber Lager/Vienna,4.70 %,1
3451,Hit Me American Red,Renegade Brewing Company,American Amber / Red Ale,6.50 %,747,Boulder Beer Sundance Amber Ale,Boulder Beer Company,Amber Ale,4.85 %,0
1842,Heatwave Red Ale,La Quinta Brewing Co. .,American Amber / Red Ale,6.00 %,737,La Quinta Brewing Co. . Heatwave Red Ale,La Quinta Brewing Co. .,Amber Ale,6 %,1
1118,Iron Mike 's Amber Ale,Jacob Leinenkugel Brewing Company,American Amber / Red Ale,-,2016,Roulier Lamarieuse,Brasserie de Roulier,Amber Ale,5.40 %,0
1411,Winter Amber Ale,Hops Grillhouse & Brewery,American Amber / Red Ale,-,1050,BandWagon North by Northwest,BandWagon Brewpub,Amber Ale,5.30 %,0
3523,Jubilee Session Amber,Sycamore Brewing,American Amber / Red Ale,4.30 %,1343,Adirondack British Red,Adirondack Pub and Brewery,Irish Ale,4.80 %,0
2031,Tall Rev Red,Manitou Brewing Co. .,American Amber / Red Ale,6.70 %,407,Pecan Street Ten Penny Nail,Pecan Street Brewing,Scottish Ale,-,0
1890,Thunderhead Ale,The Native Brewing Co. .,American Amber / Red Ale,5.20 %,484,Bare Bones Tiber River Red,Bare Bones Grill & Brewery,Amber Ale,5.25 %,0
3440,Apricadamnbeer,Backshore Brewing Company,American Amber / Red Ale,5.70 %,2312,Great Divide Old Ruffian - Barrel Aged,Great Divide Brewing Company,Barley Wine,11.80 %,0
904,Buoy NW Red Ale,Buoy Beer Company,American Amber / Red Ale,6.70 %,1227,Big Storm Wavemaker Amber Ale,Big Storm Brewing Company,Amber Ale,5.80 %,0
2449,Butter Pecan,Greenbush Brewing Company,American Amber / Red Ale,-,2779,Faction Red,Faction Brewing,Amber Ale,5.60 %,0
417,Copperhead Red,The Brew Kettle Taproom & Smokehouse / Production Works,American Amber / Red Ale,5.00 %,1686,Olivers Shot Down in Flames,Oliver Breweries,English Strong Ale,8 %,0
962,Boomer 's Canadian Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,5.00 %,704,Bacchus / Burrow Bloodhound Blood Red IPA,Bacchus Brewing Company &#40; Australia &#41;,India Pale Ale &#40; IPA &#41;,6 %,0
479,Vicious Circle Amber Ale,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,5.00 %,2626,Costa Rica_s Segua Red Ale,Costa Rica_s Craft Brewing Co. .,Irish Ale,5 %,0
1105,Quills Karoo Red,Porcupine Quill Micro Brewery and Deli,American Amber / Red Ale,5.50 %,1296,Medusa Island of Misfit Hops # 1,Medusa Brewing Company,Amber Ale,7.40 %,0
2007,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,203,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,5 %,1
2851,United Red Ale,Two Brothers Brewing Company,American Amber / Red Ale,4.80 %,152,Cucamonga Jacked Up Red,Cucamonga Brewing Company,American Strong Ale,8 %,0
3334,Hoppy Hour Amber,Skull Camp Brewing,American Amber / Red Ale,5.90 %,166,Kassiks Orion_s Quest Red Ale,Kassiks Brewery,Amber Ale,6.80 %,0
626,Vlimeuse,Micro-brasserie Saint-Arnould,American Amber / Red Ale,6.20 %,2455,Sockeye Old Devils Tooth Barleywine,Sockeye Brewing,Barley Wine,10.30 %,0
2510,The Spirit Of The 90 's ( 2015 Symposium Ale ),Hopworks Urban Brewery,American Amber / Red Ale,5.50 %,183,Bog Iron Slap Happy Rye Amber,Bog Iron Brewing,Amber Ale,5.80 %,0
3904,Rousse Classique,La Barberie,American Amber / Red Ale,5.00 %,1027,Beaver Island Fabulous Armadillo Session IPA,Beaver Island Brewing Company,Session IPA,4.70 %,0
147,Happy Amber,MadTree Brewing,American Amber / Red Ale,6.00 %,200,JoBoy_s Manheim Red,JoBoy_s Brew Pub,Amber Ale,5.20 %,0
1242,Santa Rosa Red,Anacapa Brewing Company,American Amber / Red Ale,6.25 %,2051,Wabash 503 Amber Ale,Wabash Brewing Company,Amber Ale,5.30 %,0
3891,Ryno 's,Valley Vinyards / Cellar Dweller Craft Beers,American Amber / Red Ale,5.80 %,2733,Falling Sky Reelin _ In the Oats Stout,Falling Sky Brewing,Sweet Stout,6.30 %,0
3408,King Coco,Four Sons Brewing,American Amber / Red Ale,10.00 %,482,Sebago Runabout Red Ale,Sebago Brewing Company,Amber Ale,5 %,0
1082,Arkansas Red Ale,Core Brewing & Distilling Co. .,American Amber / Red Ale,5.20 %,1917,Vice District Fire Mouth Red,Vice District Brewing Company,American Strong Ale,8.50 %,0
4311,Triton Barley Wine,DESTIHL Brewery,American Barleywine,11.50 %,263,Jumping Cow Amber Ale,August Schell Brewing Company,Amber Ale,5.50 %,0
3506,Red-Blooded American,American Brewing Company,American Amber / Red Ale,7.00 %,1279,Sandude Shades of Amber,Sandude Brewing Company,Amber Ale,5 %,0
2,Levitation Ale,Stone Brewing Co. .,American Amber / Red Ale,4.40 %,197,Kirkland Signature Amber Ale,F.X. Matt Brewing Company,Amber Ale,5.70 %,0
3381,Willoughby American Amber Ale,Willoughby Brewing,American Amber / Red Ale,4.90 %,1859,Willoughby American Amber Ale,Willoughby Brewing Co. .,Amber Ale,5.50 %,1
2552,Glorioski Amber,Discretion Brewing,American Amber / Red Ale,5.70 %,26,Blue Elephant Red Devil,Blue Elephant Craft Brew House,Amber Ale,5.10 %,0
924,5:02 Amber,Wichita Brewing Co. & Pizzeria West,American Amber / Red Ale,5.82 %,1995,Charlevoix CuvÃ © e Les Petits Brasseurs,Microbrasserie Charlevoix / Le Saint Pub,Amber Ale,5.20 %,0
31,Captain Sig 's Northwestern Ale,Rogue Ales,American Amber / Red Ale,6.20 %,434,Broken Goblet Amber Management,Broken Goblet Brewing,Amber Ale,7.10 %,0
1041,292 Ale,Lawson 's Finest Liquids,American Amber / Red Ale,5.50 %,2856,Kern River Double Dirty Hippie,Kern River Brewing,American Strong Ale,10 %,0
2744,Summertime Ale,Milwaukee Brewing Company,American Amber / Red Ale,5.50 %,864,Mash Amber,Mash Brewery &#40; Hampshire &#41;,Bitter,4.30 %,0
1856,Retread Red IPA,Whitewall Brewing Company,American Amber / Red Ale,6.40 %,2829,Olde Peninsula Sunset Red,Olde Peninsula Brewpub and Restaurant,Amber Ale,5.75 %,0
3162,Amber The Enabler,Edge Brewing Company,American Amber / Red Ale,5.50 %,1096,Boxing Cat Firecracker Imperial Red Ale,Boxing Cat Brewery,Amber Ale,6.60 %,0
1295,Spokamber,Budge Brothers Brewery,American Amber / Red Ale,-,558,Saimaan Brewer_s Special American Red Ale,Saimaan Juomatehdas,Amber Ale,4.70 %,0
190,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %,805,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,6.70 %,1
2717,Mother Plunker,DuVig Brewing Co. .,American Amber / Red Ale,5.20 %,1911,Proof Abandoned Planet Imperial Red Ale,Proof Brewing Company,Amber Ale,7.50 %,0
1363,Amber Reign,Maui Brewing Co. .,American Amber / Red Ale,5.50 %,2030,Bressene,Brasserie Grain d_Orge,Belgian Strong Ale,8 %,0
531,Battenkill Ale,Northshire Brewery,American Amber / Red Ale,5.70 %,2947,AC Golden Colorado Native Saison,Coors Brewing Company &#40; MillerCoors &#41;,Saison,-,0
766,Witch City Red,Boston Beer Works - Canal Street,American Amber / Red Ale,-,1063,Epic Carolina,Steam Brewing Company,Amber Ale,7.20 %,0
1042,Legends Of The Bay Giant 's Tomb,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00 %,55,Legends of the Bay Giant_s Tomb,Hockley Valley Brewing & Malting Company,Amber Ale,5 %,1
1595,College Chronic,BS Brewing,American Amber / Red Ale,7.50 %,2397,Phillips Trainwreck Barley Wine,Phillips Brewing Co. .,Barley Wine,10 %,0
1518,Wrangler Red Ale,Freedom 's Edge Brewing Co. .,American Amber / Red Ale,5.00 %,752,Denver Beer American Rojo,Denver Beer Company,Premium Bitter/ESB,-,0
1747,Knife 's Edge Red ( Katahdin Red ),Ebenezer 's Brewpub / Lively Brewing Co. .,American Amber / Red Ale,-,2834,Iron Horse Loco Imperial Red,Iron Horse Brewery,American Strong Ale,7.50 %,0
1748,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,652,Acoustic Rock Steady Red Cider,Acoustic Brewing Company,Cider,6 %,1
4053,Talon - True Style Barley Wine Ale,Mendocino Brewing Company,American Barleywine,10.50 %,1002,Smog City Sabre Toothed Squirrel,Smog City Brewing,Amber Ale,5.90 %,0
1815,Desert Island Series : American Honey Amber Ale,Heavy Seas Beer,American Amber / Red Ale,4.90 %,1259,Monks CafÃ © Orange Ale 2007,Sigtuna Brygghus,Abbey Dubbel,6.80 %,0
1703,Dry Hopped G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,1577,Hellbender Red Line Ale &#40; Rum Barrel &#41;,Hellbender Brewing Company,Amber Ale,6 %,0
2192,Bat Out Of Hell Red Ale,Poor House Brewing Company,American Amber / Red Ale,5.00 %,2228,Big River Riverport Traditional Ale,BRB &#40; Be Right Back - Big River &#41;,Amber Ale,5 %,0
890,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50 %,1016,Reads Landing Cap_n Amber,Reads Landing Brewing Company,Amber Ale,5.20 %,0
600,German Valley Amber,Long Valley Pub & Brewery,American Amber / Red Ale,-,1771,4T_s Santas Sack,4T_s,Golden Ale/Blond Ale,4.20 %,0
3362,Indian Summer,Cayucos Brewing Company,American Amber / Red Ale,-,1649,TitanbrÃ $ u Rossa,TitanbrÃ $ u - Birrificio Artigianale Sammarinese,Amber Ale,7.50 %,0
3666,Secret Valley Rail Ale,The Other Farm Brewing Company,American Amber / Red Ale,5.80 %,2607,High Noon Annies Amber Ale,High Noon Saloon & Brewery,Amber Ale,5.50 %,0
2752,Cliff 's Amber,Vashon Brewing Company,American Amber / Red Ale,5.40 %,2596,Wadworth / Dungarvan Copper Coast Irish Red Ale,Wadworth,Irish Ale,4.30 %,0
1254,D'Ham Rousse,Les Brasseurs du Hameau,American Amber / Red Ale,5.50 %,950,AJ_s Ales Ruby Red,AJ_s Ales,Bitter,4.40 %,0
2508,Ruby Pogo,Three Palms Brewing Co. .,American Amber / Red Ale,7.50 %,2747,8 Wired Semiconductor Session IPA,Renaissance Brewing,Session IPA,4.40 %,0
2923,Secret Lake Amber Ale,Fallbrook Brewing Company,American Amber / Red Ale,5.60 %,169,Fair Winds Running Light Red,Fair Winds Brewing Company,Belgian Ale,6 %,0
3333,Kracken Amber Ale,Spinnakers Gastro Brewpub & Guesthouse,American Amber / Red Ale,8.00 %,1465,Rare Bird Her Name Was Amber Ale,Rare Bird Brewery,Amber Ale,4.80 %,0
7,Red Rocket Ale,Bear Republic Brewing Co. .,American Amber / Red Ale,6.80 %,555,515 Undead Red,515 Brewing Company,Spice/Herb/Vegetable,7.80 %,0
3010,La 109,Brasserie De La Loire,American Amber / Red Ale,6.00 %,219,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Amber Ale,5.20 %,0
1521,Pale Ale Rousse,Micro-Brasserie L'Alchimiste,American Amber / Red Ale,5.50 %,2848,Water Street Amber,Water Street Brewery,Amber Ale,5 %,0
1441,Arctic Amber,Rivertowne Pourhouse,American Amber / Red Ale,6.00 %,601,Saint Arnold Altared Amber,Saint Arnold Brewing Company,Belgian Ale,-,0
606,Long Face,Olde Main Brewing Co. & Restaurant,American Amber / Red Ale,5.80 %,2113,Praxis Ambar,Praxis,Amber Ale,6.20 %,0
3457,Ass Clown Salted Ginger Black Sour,Ass Clown Brewing,American Amber / Red Ale,7.10 %,1919,Little Egypt Red Ale,Carbondale Craft Beer,Amber Ale,-,0
441,Kick Back Ale,Beach Haus Brewery,American Amber / Red Ale,5.50 %,957,Cornerstone Patriot Red,Cornerstone Brewing Company,Amber Ale,5.80 %,0
1807,Session Style * Amber Ale,Bull & Barrel Brew Pub,American Amber / Red Ale,4.70 %,43,Chy_e Sierra Amber Ale,Zamecky Pivovar Chy_e,Amber Ale,5.30 %,0
710,Bell In Hand Ale,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,-,1043,1933 Dry Hopped Irish Red,1933 Brewing Company,Irish Ale,6 %,0
2676,Homefield 5,Kretschmann Brewing Company,American Amber / Red Ale,3.90 %,1477,559 Bourbon Barrel Ale &#40; BBA &#41;,W Brewing / 559 Brewing,American Strong Ale,8 %,0
2374,Kozmonaut,Marz Community Brewing,American Amber / Red Ale,6.20 %,2671,Fiddlers Green Amber,F.X. Matt Brewing Company,Amber Ale,-,0
1917,Batch 16,Pinglehead Brewing Co. / Brewer 's Pizza,American Amber / Red Ale,7.30 %,585,Rat Hole Rotation Red Ale,Rat Hole Brewing,Amber Ale,5.50 %,0
2236,D,Letra - Cerveja Artesanal Minhota,American Amber / Red Ale,6.50 %,752,Denver Beer American Rojo,Denver Beer Company,Premium Bitter/ESB,-,0
3397,BarbaRoja Floral,Cerveza Artesanal BarbaRoja,American Amber / Red Ale,-,1671,Beer & Burger No. 2 India Pale Ale,Old Town Brewery &#40; formerly Motala Brygghus &#41;,India Pale Ale &#40; IPA &#41;,6.30 %,0
2159,Ride The Hoh Red Ale,Twin Peaks Brewing & Malting Co. .,American Amber / Red Ale,-,581,HopDog BeerWorks Midgee,HopDog BeerWorks,Amber Ale,2.90 %,0
782,Broken Dial,Harviestoun Brewery Ltd. .,American Amber / Red Ale,5.00 %,1037,Franklins Anacostia Ale,Brewery & General Store,Amber Ale,5.10 %,0
2634,Dry Hopped Red Ale,Liberty Steakhouse Brewery,American Amber / Red Ale,-,32,Exile Chill Clinton Double Hemp Amber Ale,Exile Brewing Company,Spice/Herb/Vegetable,8 %,0
397,Saranac Immortality,Matt Brewing Company / Saranac Brewery,American Amber / Red Ale,7.50 %,2506,Strange Land Bishopsgate,Strange Land Brewery,Barley Wine,10.90 %,0
2078,Hoppy Amber,Tequesta Brewing Company,American Amber / Red Ale,-,112,Solvang Dansk Amber Ale,Solvang Brewing Company,Amber Ale,6.20 %,0
4320,Stow The Crows,Knee Deep Brewing Company,American Barleywine,11.00 %,453,Vancouver Island Mile High Mountain Ale,Vancouver Island Brewery,Amber Ale,5.90 %,0
1771,Wait For It !,Brouwerij De Molen,American Amber / Red Ale,5.50 %,2369,FiftyFifty Annularity,FiftyFifty Brewing Company,Barley Wine,7.50 %,0
1437,Double Red,Ice Harbor Brewing Company,American Amber / Red Ale,6.80 %,622,Suginoya Amber Ale,Suginoya Beer / Hamachi Shuzo,Amber Ale,5 %,0
1605,Brue Scarlet,BrÃ 1/4 eprint Brewing Company,American Amber / Red Ale,4.80 %,2549,21st Amendment Toaster Pastry,21st Amendment Brewery,India Pale Ale &#40; IPA &#41;,7.60 %,0
1779,Ambear Ale,Boxing Bear Brewing Co. .,American Amber / Red Ale,5.20 %,1305,Goat Ridge New London Amber Ale,Goat Ridge Brewing Company,Amber Ale,5.20 %,0
2067,Redman,Intuition Ale Works,American Amber / Red Ale,5.00 %,1442,Saranac Amber Ale,F.X. Matt Brewing Company,Amber Ale,5.60 %,0
1133,Woodcock Brothers Amber,Woodcock Brothers Brewing Company,American Amber / Red Ale,7.50 %,1831,Artzner Perle Des _ les,Artzner,Fruit Beer,7 %,0
3758,Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,-,2036,Black Star Co-op Pub & Brewery Truffle Dee,Black Star Co-op Pub & Brewery,Belgian Ale,6 %,0
2602,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,American Amber / Red Ale,8.50 %,1365,Fat Head_s Busy Bee Honey Blonde Ale,Fat Head_s Brewery & Saloon,Golden Ale/Blond Ale,5.40 %,0
2007,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,2306,East End Gratitude,East End Brewing Company,Barley Wine,11.50 %,0
1394,Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,358,Bentley Hooligan Amber Ale,Bentley Brewing Co. / Dark Horse Tavern,Amber Ale,6 %,1
2909,The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 %,1529,Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 %,1
3047,Hellstork DeÅ 3/4 ko 12Â °,Ko_ovnÃ 1/2 Pivovar Hellstork,American Amber / Red Ale,5.60 %,303,Triple C Imperial Smoked Amber,Triple C Brewing Company,Smoked,8.20 %,0
2844,Royal Red,The Lord Nelson Brewery Hotel,American Amber / Red Ale,4.10 %,1111,Black Iris Bleeding Heart,Black Iris,Specialty Grain,4.50 %,0
476,Barnstormer Red,Blackhorse Pub & Brewery,American Amber / Red Ale,-,2533,The Brew Gentlemen Nonstop Forever &#40; Batch 1 &#41;,The Brew Gentlemen Beer Company,Barley Wine,10.40 %,0
1545,Beazle Brew,Nail Brewing Australia Pty Ltd,American Amber / Red Ale,5.00 %,1591,Philipsburg NewlyRed Double Red,Philipsburg Brewing Company,American Strong Ale,6.90 %,0
1546,Nugget Nectar W/columbus,TrÃ ¶ egs Brewing Company,American Amber / Red Ale,7.50 %,1551,Ale Mania Imperial Red Ale,Ale Mania &#40; Fritz Ale &#41;,American Strong Ale,9.50 %,0
389,Stinky Hippie,North Country Brewing,American Amber / Red Ale,6.00 %,1999,Caledonian Marching Orders,Caledonian &#40; Heineken UK &#41;,Bitter,4.20 %,0
3766,Jack Of Clubs,Wild Card Brewery,American Amber / Red Ale,4.50 %,1606,Anacortes Creamsicle Ale,Rockfish Grill & Anacortes Brewery,Spice/Herb/Vegetable,-,0
122,Austin Amber Ale,Independence Brewing Co. .,American Amber / Red Ale,4.80 %,1476,Alpha Project British Amber,Alpha Project,Amber Ale,6 %,0
2701,Stranger Danger,Flat 12 Bierwerks,American Amber / Red Ale,-,1513,BrÃ ¸ ckhouse Amber,BrÃ ¸ ckhouse &#40; Premium Beer &#41;,Amber Ale,5.40 %,0
4341,Old Familiar Barleywine,Carolina Brewery,American Barleywine,8.30 %,2571,Gnarly Oak Hazelnut Dark,Minhas Craft Brewery,Amber Ale,5.50 %,0
1122,Maple Ale,Lefty 's Brewing Company,American Amber / Red Ale,5.00 %,2496,Pizza Port Old Boneyards Barleywine,Pizza Port &#40; Solana Beach &#41;,Barley Wine,9.80 %,0
4207,Rakish Ryewine,Drake 's Brewing Co. .,American Barleywine,11.50 %,636,All Inn Ruby Amber Ale,All Inn Brewing Co. .,Amber Ale,4.60 %,0
119,Gypsy Tears Ruby Ale,Parallel 49 Brewing Company,American Amber / Red Ale,6.00 %,2088,7 Fjell Kniksen India Red Ale,7 Fjell Bryggeri,Amber Ale,6.80 %,0
291,Oakshire Amber,Oakshire Brewing,American Amber / Red Ale,5.40 %,2285,4 Hands The Woodsman,4 Hands Brewing Company,Imperial Stout,9 %,0
2614,Killer Red Fresh Hop India Red Ale,Double Mountain Brewery & Taproom,American Amber / Red Ale,7.20 %,692,2nd Story Hoppy New Year Amber Ale,2nd Story Brewing Company,Amber Ale,5.70 %,0
1226,Red Dragon Imperial Red Ale,Dead Frog Brewing,American Amber / Red Ale,8.00 %,2481,Motor City Winter Ale,Motor City Brewing Works,American Strong Ale,8.80 %,0
1009,Cinnamon Girl,Revolver Brewing,American Amber / Red Ale,6.75 %,752,Denver Beer American Rojo,Denver Beer Company,Premium Bitter/ESB,-,0
37,Red Nectar,Humboldt Brewing Co. .,American Amber / Red Ale,5.40 %,542,Copperpoint A10 Hop Hog,Copperpoint Brewing Company,India Pale Ale &#40; IPA &#41;,6.30 %,0
1301,Hyperion Red Ale,Fogbelt Brewing Company,American Amber / Red Ale,6.00 %,233,Pisgah Ryan_s Red Ale,Pisgah Brewing Company,Irish Ale,5 %,0
4136,Patience,Fulton Beer,American Barleywine,13.20 %,461,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,0
1779,Ambear Ale,Boxing Bear Brewing Co. .,American Amber / Red Ale,5.20 %,1146,3Cross Kannibaal,3Cross Brewing Company,Amber Ale,7.50 %,0
2761,Autumn Amber,Cloud 9 Brewery,American Amber / Red Ale,5.80 %,917,Rock Bottom Minneapolis Mary Jane Amber Ale,Rock Bottom Minneapolis,Amber Ale,5.70 %,0
752,Red Sea Of Cacao,Big Island Brewhaus & Tako Taco Taqueria,American Amber / Red Ale,9.00 %,2022,Legenda Pony,Legenda SÃ ¶ rf &#337; zde,Golden Ale/Blond Ale,4.50 %,0
